idboleta,fac00,area,region,r004,pobreza,ingpe,r3213a,r32309a,r32309b,INTERNET_SI_NO,COMPUTADORA_SI_NO,es_outlier_ingreso,INGPE_LIMPIO,BRECHA_DIGITAL,LOG_INGPE,INGPE_ESCALADO,PC_ESCALADO
351141.0,137.14307419353457,Rural,Occidental,Ahuachapán,No pobre,246.25,Sí,Sí,1.0,1.0,1.0,False,246.25,0.0,5.510399970502822,0.2506626144114217,1.0
351142.0,137.14307419353457,Rural,Occidental,Ahuachapán,Pobreza extrema,0.0,No,No,0.0,0.0,0.0,False,0.0,1.0,0.0,-0.909648843811476,0.0
351143.0,174.18936920008804,Rural,Occidental,Ahuachapán,No pobre,236.14499999999998,No,Sí,1.0,0.0,1.0,False,236.14499999999998,1.0,5.4686717683990285,0.20304861528312768,1.0
351144.0,137.14307419353457,Rural,Occidental,Ahuachapán,Pobreza extrema,32.91,No,No,0.0,0.0,0.0,False,32.91,1.0,3.523709956137547,-0.7545794018211591,0.0
361673.0,239.71768297065015,Rural,Occidental,Ahuachapán,Pobreza relativa,72.5,No,Sí,1.0,0.0,1.0,False,72.5,1.0,4.297285406218791,-0.5680343028118412,1.0
361674.0,233.11706104640555,Rural,Occidental,Ahuachapán,No pobre,101.63833333333334,Sí,Sí,1.0,1.0,1.0,False,101.63833333333334,0.0,4.6312114821916515,-0.43073667016134426,1.0
361675.0,251.59880243429035,Rural,Occidental,Ahuachapán,Pobreza relativa,72.15,Sí,Sí,3.0,1.0,1.0,False,72.15,0.0,4.292512127466133,-0.5696834764580463,3.0
361676.0,259.51954874338384,Rural,Occidental,Ahuachapán,No pobre,284.58,No,No,0.0,0.0,0.0,False,284.58,1.0,5.654522200002149,0.431270688294401,0.0
361677.0,279.32141451611756,Rural,Occidental,Ahuachapán,Pobreza relativa,83.105,No,Sí,2.0,0.0,1.0,False,83.105,1.0,4.432066018243746,-0.5180643413318257,2.0
361678.0,219.91581719791643,Rural,Occidental,Ahuachapán,No pobre,150.0,No,Sí,1.0,0.0,1.0,False,150.0,1.0,5.017279836814924,-0.2028601382949901,1.0
